exp_id,instancia,id_config,semilla,generacion,evaluaciones,best_fitness,media_fitness,best_lcoh,factible_best
E09_MREF,small,mref=min_efi,101,0,150,478798.5266889076,479174.0767262409,,False
E09_MREF,small,mref=min_efi,101,1,300,109434.32056395664,471653.4520446561,4.88546073946235,True
E09_MREF,small,mref=min_efi,101,2,450,108291.77563333334,461588.13805280824,4.834454269345239,True
E09_MREF,small,mref=min_efi,101,3,600,108290.99538482385,424496.40015553264,4.834419436822493,True
E09_MREF,small,mref=min_efi,101,4,750,108290.99538482385,382552.78974574554,4.834419436822493,True
E09_MREF,small,mref=min_efi,101,5,900,107137.01665271002,320844.17089935305,4.78290252913884,True
E09_MREF,small,mref=min_efi,101,6,1050,107137.01665271002,197822.70120376872,4.78290252913884,True
E09_MREF,small,mref=min_efi,101,7,1200,106007.37332357724,109261.708232757,4.732472023373984,True
E09_MREF,small,mref=min_efi,101,8,1350,106003.45027357724,108521.85903795664,4.73229688721327,True
E09_MREF,small,mref=min_efi,101,9,1500,105408.34914146342,107970.85674728727,4.70572987238676,True
E09_MREF,small,mref=min_efi,101,10,1650,104275.56301084012,107706.40698857635,4.655159062983934,True
E09_MREF,small,mref=min_efi,101,11,1800,104275.56301084012,107269.82529222041,4.655159062983934,True
E09_MREF,small,mref=min_efi,101,12,1950,104275.56301084012,106622.66450450859,4.655159062983934,True
E09_MREF,small,mref=min_efi,101,13,2100,104275.56301084012,106266.14490763145,4.655159062983934,True
E09_MREF,small,mref=min_efi,101,14,2250,104274.78276233064,105934.11216981572,4.6551242304611895,True
E09_MREF,small,mref=min_efi,101,15,2400,104274.78276233064,105628.20161390696,4.6551242304611895,True
E09_MREF,small,mref=min_efi,101,16,2550,104274.78276233064,105358.12473516261,4.6551242304611895,True
E09_MREF,small,mref=min_efi,101,17,2700,104274.78276233064,104976.6214381897,4.6551242304611895,True
E09_MREF,small,mref=min_efi,101,18,2850,103141.99663170733,104573.48631611113,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,19,3000,103141.99663170733,104303.58898753027,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,20,3150,103141.99663170733,104246.8932835357,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,21,3300,103141.99663170733,104221.62413718792,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,22,3450,103141.99663170733,104181.21996582477,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,23,3600,103141.99663170733,104125.07909730716,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,24,3750,103141.99663170733,104030.76427860525,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,25,3900,103141.99663170733,103853.38610976786,4.6045534210583625,True
E09_MREF,small,mref=min_efi,101,26,4050,103141.99663170733,103608.2129257534,4.6045534210583625,True
