instancia,LCOH_GA_calibrado,LCOH_exacto_UB_mejor,timeout_de_la_mejor_UB,optimo_certificado
small,4.604553421058364,,,False
medium,4.3719519341614355,,,False
large,4.445153249429743,,,False
