exp_id,id_config,n_instancias,veces_mejor,veces_mejor_txt,mejor_en,tasa_factibilidad_global,rank_medio,tiempo_medio_s,n_instancias_sin_factibles,decision
E06_NG,N=80_G=200,3,3,3/3,"large, medium, small",0.9166666666666666,1.0,7.377498268016583,0,<- mas veces mejor
E06_NG,N=80_G=100,3,0,0/3,-,0.9166666666666666,2.6666666666666665,3.676460844449912,0,
E06_NG,N=80_G=50,3,0,0/3,-,0.9166666666666666,4.666666666666667,1.846819219350012,0,
E06_NG,N=40_G=200,3,0,0/3,-,0.8666666666666667,2.6666666666666665,3.5994031349333304,0,
E06_NG,N=40_G=100,3,0,0/3,-,0.8666666666666667,4.666666666666667,1.779877511116668,0,
E06_NG,N=40_G=50,3,0,0/3,-,0.8333333333333334,7.0,0.9147364012332826,0,
E06_NG,N=20_G=200,3,0,0/3,-,0.8166666666666668,6.0,1.81423602758335,0,
E06_NG,N=20_G=100,3,0,0/3,-,0.8166666666666668,7.666666666666667,0.9200456940000853,0,
E06_NG,N=20_G=50,3,0,0/3,-,0.7666666666666666,8.666666666666666,0.42972991204992467,0,
