exp_id,id_config,n_instancias,veces_mejor,veces_mejor_txt,mejor_en,tasa_factibilidad_global,rank_medio,tiempo_medio_s,n_instancias_sin_factibles,decision
E11_PARADA,parada=tiempox120,3,2,2/3,"large, medium",1.0,2.3333333333333335,120.0251049760168,0,<- mas veces mejor
E11_PARADA,parada=generacionesx100,3,1,1/3,small,1.0,3.6666666666666665,4.586522748033349,0,
E11_PARADA,parada=tiempox60,3,0,0/3,-,1.0,2.6666666666666665,60.02371314176665,0,
E11_PARADA,parada=tiempox30,3,0,0/3,-,1.0,3.0,30.027553698583336,0,
E11_PARADA,parada=generacionesx200,3,0,0/3,-,1.0,3.3333333333333335,9.353670755183293,0,
