exp_id,id_config,n_instancias,veces_mejor,veces_mejor_txt,mejor_en,tasa_factibilidad_global,rank_medio,tiempo_medio_s,n_instancias_sin_factibles,decision
E01_PM,PM=0.2,3,2,2/3,"large, medium",0.7000000000000001,1.3333333333333333,2.2434253256500103,0,<- mas veces mejor
E01_PM,PM=0.1,3,1,1/3,small,0.6333333333333333,1.6666666666666667,2.3440373686500036,0,
E01_PM,PM=0.05,3,0,0/3,-,0.4000000000000001,3.0,2.34221095090002,0,
E01_PM,PM=0.01,3,0,0/3,-,0.24999999999999997,4.333333333333333,2.284796891216668,0,
E01_PM,PM=0.001,3,0,0/3,-,0.19999999999999998,4.666666666666667,2.16499083616665,0,
