exp_id,instancia,id_config,semilla,generacion,evaluaciones,best_fitness,media_fitness,best_lcoh,factible_best
E04_N,small,N=50,101,0,50,5304442.090786866,122211863.54099995,,False
E04_N,small,N=50,101,1,100,5304442.090786866,69210252.06758709,,False
E04_N,small,N=50,101,2,150,5304442.090786866,47055138.11639099,,False
E04_N,small,N=50,101,3,200,5304442.090786866,29639445.800357684,,False
E04_N,small,N=50,101,4,250,5304442.090786866,16047678.880115679,,False
E04_N,small,N=50,101,5,300,5304442.090786866,8185571.515243689,,False
E04_N,small,N=50,101,6,350,5304442.090786866,5328784.126373131,,False
E04_N,small,N=50,101,7,400,5304442.090786866,5304442.172130866,,False
E04_N,small,N=50,101,8,450,5304442.090786866,5304442.090786866,,False
E04_N,small,N=50,101,9,500,5304442.090786866,5304442.090786866,,False
E04_N,small,N=50,101,10,550,5304345.046325619,5304440.149897641,,False
E04_N,small,N=50,101,11,600,5304345.046325619,5304438.209008416,,False
E04_N,small,N=50,101,12,650,5304345.046325619,5304436.268119191,,False
E04_N,small,N=50,101,13,700,5304345.046325619,5304424.622783842,,False
E04_N,small,N=50,101,14,750,5304345.046325619,5304411.036559267,,False
E04_N,small,N=50,101,15,800,5304345.046325619,5304397.450334692,,False
E04_N,small,N=50,101,16,850,5304345.046325619,5304354.750771744,,False
E04_N,small,N=50,101,17,900,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,18,950,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,19,1000,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,20,1050,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,21,1100,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,22,1150,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,23,1200,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,24,1250,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,25,1300,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,26,1350,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,27,1400,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,28,1450,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,29,1500,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,30,1550,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,31,1600,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,32,1650,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,33,1700,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,34,1750,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,35,1800,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,36,1850,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,37,1900,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,38,1950,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,39,2000,5304345.046325619,5304345.046325619,,False
E04_N,small,N=50,101,40,2050,5304138.18487562,5304340.909096619,,False
E04_N,small,N=50,101,41,2100,5304138.18487562,5304328.497409619,,False
E04_N,small,N=50,101,42,2150,5304138.18487562,5304303.67403562,,False
E04_N,small,N=50,101,43,2200,5304138.18487562,5304287.125119619,,False
E04_N,small,N=50,101,44,2250,5304138.18487562,5304233.341142619,,False
E04_N,small,N=50,101,45,2300,5304138.18487562,5304163.00824962,,False
E04_N,small,N=50,101,46,2350,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,47,2400,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,48,2450,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,49,2500,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,50,2550,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,51,2600,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,52,2650,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,53,2700,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,54,2750,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,55,2800,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,56,2850,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,57,2900,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,58,2950,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,59,3000,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,60,3050,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,61,3100,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,62,3150,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,63,3200,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,64,3250,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,65,3300,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,66,3350,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,67,3400,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,68,3450,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,69,3500,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,70,3550,5304138.18487562,5304138.18487562,,False
E04_N,small,N=50,101,71,3600,5304138.18487562,5304138.18487562,,False
