exp_id,calibracion,instancia,P,J,K,M,HTotal,id_config,tam_poblacion,n_generaciones,tiempo_max,prob_cruce,prob_mutacion,k_torneo,elitismo,tipo_init,frac_semilla,pool_tipo,pool_n,pool_sigma,m_ref,w_visita,w_capacidad,w_camiones,w_produccion,presupuesto,semilla,rep,factible,lcoh,coste_total,capex,opex,transporte,penalizacion,fitness,viol_visita,viol_capacidad,viol_camiones,viol_produccion,n_camiones,n_plantas_abiertas,modos_usados,tiempo_s,generaciones_ejec,evaluaciones,gen_mejor,gen_estancamiento,error,timestamp,hash_config
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,101,0,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.193266974999915,400,8020,25,375,,2026-09-05T08:16:39,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,202,1,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.825900000002,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1643199780000941,400,8020,31,369,,2026-09-05T08:16:40,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,303,2,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1446504390000882,400,8020,37,363,,2026-09-05T08:16:41,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,404,3,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1454076190002525,400,8020,36,364,,2026-09-05T08:16:42,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,505,4,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1495446680000896,400,8020,42,358,,2026-09-05T08:16:43,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,606,5,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1458630189999894,400,8020,35,365,,2026-09-05T08:16:44,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,707,6,True,4.6128332746624565,103327.46535243903,21100.0,72390.24390243903,9837.22145,0.0,103327.46535243903,0,0.0,0,0.0,8,4,liquido,1.544801987000028,400,8020,98,302,,2026-09-05T08:16:46,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,808,7,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.7992045040000448,400,8020,20,380,,2026-09-05T08:16:48,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,909,8,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.154836447999969,400,8020,36,364,,2026-09-05T08:16:49,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,1010,9,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1450629089999893,400,8020,24,376,,2026-09-05T08:16:50,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,1111,10,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.180086367000058,400,8020,52,348,,2026-09-05T08:16:51,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,1212,11,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.825900000002,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1582327179999083,400,8020,21,379,,2026-09-05T08:16:52,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,1313,12,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1825365069998952,400,8020,35,365,,2026-09-05T08:16:54,c7ed447d7e
E10_PRESUP,Comparacion a presupuesto computacional constante (N x G = cte),small,4,8,16,3,22400.0,NxG=20x400,20,400,,0.6,0.2,2,True,B,0.5,nogood,8,0.15,min_efi,,,,,20x400,1414,13,True,4.6045534210583625,103141.99663170733,21100.0,73073.17073170733,8968.8259,0.0,103141.99663170733,0,0.0,0,0.0,8,4,liquido,1.1553980479998245,400,8020,16,384,,2026-09-05T08:16:55,c7ed447d7e
